epoch,accuracy,epoch_duration,loss,total_time,val_accuracy,val_loss
0,0.8169808387756348,113.0925760269165,2.3418312072753906,113.1289451122284,0.823975145816803,1.998523235321045
1,0.8234278559684753,117.55103087425232,1.9548457860946655,230.68078303337097,0.8262155652046204,2.1090943813323975
2,0.8225383758544922,118.06588888168335,1.8949030637741089,348.7485680580139,0.8196378350257874,1.9003630876541138
3,0.8218474984169006,118.62765121459961,1.87093985080719,467.3775632381439,0.8192123174667358,1.896242618560791
4,0.8224576115608215,119.72703623771667,1.932791829109192,587.1059591770172,0.819145679473877,1.8933967351913452
5,0.817510187625885,120.84627294540405,2.111999034881592,707.9530301094055,0.8229036331176758,2.0964953899383545
6,0.8228882551193237,120.5501070022583,1.9517182111740112,828.504643201828,0.8192789554595947,1.8928719758987427
0,0.8168065547943115,152.29172372817993,2.414365768432617,152.3243567943573,0.8262155652046204,2.14729380607605
1,0.8230305314064026,159.82977104187012,1.9565582275390625,312.1562428474426,0.8207862377166748,1.915188193321228
2,0.8225396275520325,150.5315022468567,1.8892303705215454,462.6893119812012,0.8202428221702576,1.902270793914795
3,0.8223627805709839,149.76365208625793,1.8737564086914062,612.4534020423889,0.8228882551193237,1.8833472728729248
4,0.8224345445632935,150.1850769519806,1.8652369976043701,762.638965845108,0.825933575630188,1.9130876064300537
5,0.8226626515388489,151.32850790023804,1.8589612245559692,913.9679408073425,0.8197506070137024,1.8873761892318726
0,0.00045885200961492956,166.7478747367859,10.192747116088867,166.78480887413025,0.0,9.943687438964844
1,1.281709501199657e-06,158.5430610179901,9.943700790405273,325.32997703552246,0.0,9.943687438964844
2,1.281709501199657e-06,155.77299904823303,9.943700790405273,481.10406398773193,0.0,9.943687438964844
3,1.281709501199657e-06,159.84737396240234,9.943700790405273,640.9529058933258,0.0,9.943687438964844
4,1.281709501199657e-06,159.48218202590942,9.943700790405273,800.4369299411774,0.0,9.943687438964844
5,1.281709501199657e-06,160.15254926681519,9.943700790405273,960.5910861492157,0.0,9.943687438964844
