epoch,accuracy,epoch_duration,loss,total_time,val_accuracy,val_loss
0,0.9306085705757141,1375.7318711280823,0.5645681619644165,1375.9503581523895,0.9315796494483948,0.5152460336685181
1,0.9325711131095886,1343.51455950737,0.49305397272109985,2719.4674451351166,0.9329624772071838,0.4879479706287384
2,0.9335933923721313,1358.0798072814941,0.471896767616272,4077.5504443645477,0.933505117893219,0.4726852476596832
3,0.9342482686042786,1339.412088394165,0.4558129906654358,5416.965963602066,0.9332939982414246,0.4648735523223877
4,0.9347230195999146,1337.4487855434418,0.4433327913284302,6754.417461395264,0.9333809018135071,0.45942071080207825
5,0.9352663159370422,1358.64923620224,0.4323355555534363,8113.069442272186,0.9335353374481201,0.4568944275379181
6,0.9357998967170715,1336.794537782669,0.42296186089515686,9449.87312245369,0.9338762164115906,0.4566778540611267
7,0.9363073706626892,1344.1043224334717,0.4145144522190094,10793.979830026627,0.9334964752197266,0.45656895637512207
8,0.9367367625236511,1337.9674463272095,0.40729549527168274,12131.951605796814,0.9333008527755737,0.45839589834213257
9,0.937126636505127,1356.6190950870514,0.4010741412639618,13488.575156211853,0.9338659644126892,0.4584217369556427
10,0.937487006187439,1339.6413674354553,0.39568501710891724,14828.239742279053,0.9334425926208496,0.4618045687675476
11,0.9378069639205933,1342.660472869873,0.39088574051856995,16170.904575824738,0.9337006211280823,0.4640043377876282
