epoch,accuracy,epoch_duration,loss,total_time,val_accuracy,val_loss
0,0.9312359094619751,1412.214367866516,0.55903559923172,1412.6803996562958,0.9321513772010803,0.5034916400909424
1,0.9330580830574036,1364.5774886608124,0.4836396872997284,2777.260643720627,0.9333006739616394,0.48138609528541565
2,0.9340373277664185,1346.4198653697968,0.4644675850868225,4123.696880578995,0.934018075466156,0.4668925702571869
3,0.9346975088119507,1346.7167925834656,0.448842853307724,5470.417619466782,0.9341465830802917,0.4584806263446808
4,0.9352204203605652,1345.5347805023193,0.43692609667778015,6815.95464015007,0.9339349269866943,0.4553435146808624
5,0.9357349276542664,1342.849328994751,0.4274929165840149,8158.808518409729,0.9341909885406494,0.4522521197795868
6,0.9361759424209595,1344.9356203079224,0.419329971075058,9503.746657133102,0.934074878692627,0.45375150442123413
7,0.9366035461425781,1353.3902633190155,0.4119017422199249,10857.141072750092,0.9335082769393921,0.4549751579761505
8,0.937008261680603,1344.149293422699,0.4053681194782257,12201.29455780983,0.9340788125991821,0.4560641348361969
9,0.9373641610145569,1345.1098372936249,0.3996410667896271,13546.409346580505,0.9337708950042725,0.45694971084594727
10,0.937706708908081,1344.9948041439056,0.3945704400539398,14891.407885789871,0.9335874319076538,0.4608776271343231
