epoch,accuracy,epoch_duration,loss,total_time,val_accuracy,val_loss
0,0.9310036897659302,8359.93596792221,0.5564352869987488,8360.139335870743,0.9319376945495605,0.5053158402442932
1,0.9330019950866699,8437.10561299324,0.48682087659835815,16797.248477220535,0.9331496953964233,0.48410844802856445
2,0.9336749911308289,8321.026051282883,0.4703393578529358,25118.280538082123,0.9334596991539001,0.4751347005367279
3,0.934160053730011,8314.82770705223,0.45906195044517517,33433.112978219986,0.9336336255073547,0.46779322624206543
4,0.9344059824943542,8299.636355876923,0.451587438583374,41732.751932621,0.933763325214386,0.4649238884449005
5,0.9346278309822083,8306.678850889206,0.445757657289505,50039.438997507095,0.9337759017944336,0.4642280340194702
6,0.9348496794700623,8287.832678556442,0.4413079023361206,58327.27415442467,0.933853805065155,0.4612882733345032
7,0.9351062774658203,8291.396151781082,0.4365001320838928,66618.67282915115,0.9337377548217773,0.4631807804107666
8,0.9353047609329224,8325.86125612259,0.4330056607723236,74944.53782749176,0.9339126348495483,0.46150436997413635
9,0.9354804158210754,8292.855654239655,0.4293864667415619,83237.3996887207,0.9336331486701965,0.4627667963504791
10,0.9356127977371216,8299.229566335678,0.4267942011356354,91536.63420557976,0.9333464503288269,0.4642617404460907
11,0.9357715845108032,8279.91519856453,0.42365849018096924,99816.55407810211,0.9335381388664246,0.4638752341270447
12,0.9357812404632568,8286.247487783432,0.42239058017730713,108102.80620622635,0.9335208535194397,0.46317094564437866
13,0.9359756112098694,8277.161358594894,0.4194263517856598,116379.97263646126,0.933437705039978,0.46453893184661865
