epoch,epoch_duration,loss,total_time,val_loss
0,1001.5406441688538,nan,1007.2840025424957,nan
0,1592.3657248020172,0.0545562319457531,1595.9770197868347,2.471433617756702e-05
0,1620.2307901382446,0.056365687400102615,1626.0988719463348,2.2031050320947543e-05
1,1548.9067289829254,0.0026675090193748474,3177.5322782993317,2.2071833882364444e-05
2,1547.8346593379974,0.0010971088195219636,4758.379359722137,3.0027833872736664e-06
3,1547.6898245811462,0.00014089678006712347,6340.1514108181,3.38640063546336e-07
4,1547.2163908481598,5.436483115772717e-05,7887.392840385437,3.899229454873421e-07
0,1589.627492904663,0.05394119769334793,1593.111032485962,5.785627581644803e-05
1,1546.7410898208618,0.0024990562815219164,3139.87052154541,4.0874379919841886e-05
2,1545.8687171936035,0.00045784443500451744,4720.918502569199,7.27391307009384e-06
3,1543.467336177826,9.647371916798875e-05,6264.402593135834,6.475416739704087e-06
4,1548.0140616893768,5.216218778514303e-05,7850.86584186554,2.1008564488056436e-07
5,1545.0625596046448,4.2761239456012845e-05,9395.945363283157,2.0700773006865347e-07
6,1545.6507709026337,3.977278174716048e-05,10978.448650598526,2.1617616141611506e-07
0,1552.6785564422607,0.05712331831455231,1561.543152332306,3.73677394236438e-05
1,1508.7003524303436,0.0029143106658011675,3070.2696244716644,0.002899725455790758
2,1520.7448546886444,0.0016789368819445372,4591.033452272415,5.575448085437529e-06
3,1508.1830632686615,0.0003623586380854249,6099.233691930771,2.5425717922189506e-06
4,1514.6822650432587,8.682063344167545e-05,7627.645983695984,2.0103577753616264e-06
